LandisData "Climate Data"								

ClimateTable								
>>Eco	Time	Month	AvgMinT	AvgMaxT	StdDevT	AvgPpt	StdDevPpt	PAR
5	0	4	2.9	19.0	2.4	9.0	4.6	0.0
5	0	5	8.9	23.7	2.1	8.4	4.2	0.0
5	0	6	14.9	26.8	1.6	6.8	3.6	0.0
5	0	7	18.6	28.5	1.4	9.8	5.9	0.0
5	0	8	17.2	27.4	1.6	10.6	6.8	0.0
5	0	9	11.5	25.2	1.8	7.4	4.0	0.0
5	0	10	4.6	20.7	2.2	7.2	3.6	0.0
5	0	11	-0.9	16.6	2.3	8.9	5.2	0.0
5	0	12	-7.5	12.4	3.3	8.3	4.2	0.0
6	0	1	-10.9	10.2	3.5	8.7	4.0	0.0
6	0	2	-8.8	10.2	3.4	7.7	3.3	0.0
6	0	3	-3.0	14.7	3.2	9.2	3.9	0.0	
6	0	4	2.9	19.0	2.4	9.0	4.6	0.0
6	0	5	8.9	23.7	2.1	8.4	4.2	0.0
6	0	6	14.9	26.8	1.6	6.8	3.6	0.0
6	0	7	18.6	28.5	1.4	9.8	5.9	0.0
6	0	8	17.2	27.4	1.6	10.6	6.8	0.0
6	0	9	11.5	25.2	1.8	7.4	4.0	0.0
6	0	10	4.6	20.7	2.2	7.2	3.6	0.0
6	0	11	-0.9	16.6	2.3	8.9	5.2	0.0
6	0	12	-7.5	12.4	3.3	8.3	4.2	0.0
7	0	1	-10.9	10.2	3.5	8.7	4.0	0.0
7	0	2	-8.8	10.2	3.4	7.7	3.3	0.0
7	0	3	-3.0	14.7	3.2	9.2	3.9	0.0	
7	0	4	2.9	19.0	2.4	9.0	4.6	0.0
7	0	5	8.9	23.7	2.1	8.4	4.2	0.0
7	0	6	14.9	26.8	1.6	6.8	3.6	0.0
7	0	7	18.6	28.5	1.4	9.8	5.9	0.0
7	0	8	17.2	27.4	1.6	10.6	6.8	0.0
7	0	9	11.5	25.2	1.8	7.4	4.0	0.0
7	0	10	4.6	20.7	2.2	7.2	3.6	0.0
7	0	11	-0.9	16.6	2.3	8.9	5.2	0.0
7	0	12	-7.5	12.4	3.3	8.3	4.2	0.0
8	0	1	-10.9	10.2	3.5	8.7	4.0	0.0
8	0	2	-8.8	10.2	3.4	7.7	3.3	0.0
8	0	3	-3.0	14.7	3.2	9.2	3.9	0.0	
8	0	4	2.9	19.0	2.4	9.0	4.6	0.0
8	0	5	8.9	23.7	2.1	8.4	4.2	0.0
8	0	6	14.9	26.8	1.6	6.8	3.6	0.0
8	0	7	18.6	28.5	1.4	9.8	5.9	0.0
8	0	8	17.2	27.4	1.6	10.6	6.8	0.0
8	0	9	11.5	25.2	1.8	7.4	4.0	0.0
8	0	10	4.6	20.7	2.2	7.2	3.6	0.0
8	0	11	-0.9	16.6	2.3	8.9	5.2	0.0
8	0	12	-7.5	12.4	3.3	8.3	4.2	0.0
2	5	1	-12.20	-1.60	2.22	11.26	3.44	0.00
2	5	2	-9.97	0.19	2.33	8.62	2.42	0.00
2	5	3	-3.73	7.68	1.66	10.93	2.42	0.00
2	5	4	3.94	14.83	1.45	11.35	3.38	0.00
2	5	5	10.36	22.27	1.27	10.51	3.21	0.00
2	5	6	15.10	26.72	1.44	12.64	3.63	0.00
2	5	7	17.81	28.65	1.19	7.17	1.88	0.00
2	5	8	18.24	28.47	1.51	6.55	2.48	0.00
2	5	9	14.44	25.79	1.47	6.89	1.97	0.00
2	5	10	6.40	18.60	1.77	3.95	1.29	0.00
2	5	11	-2.07	8.90	1.59	10.76	3.68	0.00
2	5	12	-9.64	0.69	1.82	8.40	2.06	0.00
3	5	1	-12.20	-1.60	2.22	11.26	3.44	0.00
3	5	2	-9.97	0.19	2.33	8.62	2.42	0.00
3	5	3	-3.73	7.68	1.66	10.93	2.42	0.00
3	5	4	3.94	14.83	1.45	11.35	3.38	0.00
3	5	5	10.36	22.27	1.27	10.51	3.21	0.00
3	5	6	15.10	26.72	1.44	12.64	3.63	0.00
3	5	7	17.81	28.65	1.19	7.17	1.88	0.00
3	5	8	18.24	28.47	1.51	6.55	2.48	0.00
3	5	9	14.44	25.79	1.47	6.89	1.97	0.00
3	5	10	6.40	18.60	1.77	3.95	1.29	0.00
3	5	11	-2.07	8.90	1.59	10.76	3.68	0.00
3	5	12	-9.64	0.69	1.82	8.40	2.06	0.00
4	5	1	-12.20	-1.60	2.22	11.26	3.44	0.00
4	5	2	-9.97	0.19	2.33	8.62	2.42	0.00
4	5	3	-3.73	7.68	1.66	10.93	2.42	0.00
4	5	4	3.94	14.83	1.45	11.35	3.38	0.00
4	5	5	10.36	22.27	1.27	10.51	3.21	0.00
4	5	6	15.10	26.72	1.44	12.64	3.63	0.00
4	5	7	17.81	28.65	1.19	7.17	1.88	0.00
4	5	8	18.24	28.47	1.51	6.55	2.48	0.00
4	5	9	14.44	25.79	1.47	6.89	1.97	0.00
4	5	10	6.40	18.60	1.77	3.95	1.29	0.00
4	5	11	-2.07	8.90	1.59	10.76	3.68	0.00
4	5	12	-9.64	0.69	1.82	8.40	2.06	0.00
5	5	1	-12.20	-1.60	2.22	11.26	3.44	0.00
5	5	2	-9.97	0.19	2.33	8.62	2.42	0.00
5	5	3	-3.73	7.68	1.66	10.93	2.42	0.00
5	5	4	3.94	14.83	1.45	11.35	3.38	0.00
5	5	5	10.36	22.27	1.27	10.51	3.21	0.00
5	5	6	15.10	26.72	1.44	12.64	3.63	0.00
5	5	7	17.81	28.65	1.19	7.17	1.88	0.00
5	5	8	18.24	28.47	1.51	6.55	2.48	0.00
5	5	9	14.44	25.79	1.47	6.89	1.97	0.00
5	5	10	6.40	18.60	1.77	3.95	1.29	0.00
5	5	11	-2.07	8.90	1.59	10.76	3.68	0.00
5	5	12	-9.64	0.69	1.82	8.40	2.06	0.00
6	5	1	-12.20	-1.60	2.22	11.26	3.44	0.00
6	5	2	-9.97	0.19	2.33	8.62	2.42	0.00
6	5	3	-3.73	7.68	1.66	10.93	2.42	0.00
6	5	4	3.94	14.83	1.45	11.35	3.38	0.00
6	5	5	10.36	22.27	1.27	10.51	3.21	0.00
6	5	6	15.10	26.72	1.44	12.64	3.63	0.00
6	5	7	17.81	28.65	1.19	7.17	1.88	0.00
6	5	8	18.24	28.47	1.51	6.55	2.48	0.00
6	5	9	14.44	25.79	1.47	6.89	1.97	0.00
6	5	10	6.40	18.60	1.77	3.95	1.29	0.00
6	5	11	-2.07	8.90	1.59	10.76	3.68	0.00
6	5	12	-9.64	0.69	1.82	8.40	2.06	0.00
7	5	1	-12.20	-1.60	2.22	11.26	3.44	0.00
7	5	2	-9.97	0.19	2.33	8.62	2.42	0.00
7	5	3	-3.73	7.68	1.66	10.93	2.42	0.00
7	5	4	3.94	14.83	1.45	11.35	3.38	0.00
7	5	5	10.36	22.27	1.27	10.51	3.21	0.00
7	5	6	15.10	26.72	1.44	12.64	3.63	0.00
7	5	7	17.81	28.65	1.19	7.17	1.88	0.00
7	5	8	18.24	28.47	1.51	6.55	2.48	0.00
7	5	9	14.44	25.79	1.47	6.89	1.97	0.00
7	5	10	6.40	18.60	1.77	3.95	1.29	0.00
7	5	11	-2.07	8.90	1.59	10.76	3.68	0.00
7	5	12	-9.64	0.69	1.82	8.40	2.06	0.00
8	5	1	-12.20	-1.60	2.22	11.26	3.44	0.00
8	5	2	-9.97	0.19	2.33	8.62	2.42	0.00
8	5	3	-3.73	7.68	1.66	10.93	2.42	0.00
8	5	4	3.94	14.83	1.45	11.35	3.38	0.00
8	5	5	10.36	22.27	1.27	10.51	3.21	0.00
8	5	6	15.10	26.72	1.44	12.64	3.63	0.00
8	5	7	17.81	28.65	1.19	7.17	1.88	0.00
8	5	8	18.24	28.47	1.51	6.55	2.48	0.00
8	5	9	14.44	25.79	1.47	6.89	1.97	0.00
8	5	10	6.40	18.60	1.77	3.95	1.29	0.00
8	5	11	-2.07	8.90	1.59	10.76	3.68	0.00
8	5	12	-9.64	0.69	1.82	8.40	2.06	0.00
2	10	1	-11.93	-1.32	2.22	11.40	3.49	0.00
2	10	2	-10.36	-0.20	2.33	10.93	3.05	0.00
2	10	3	-3.04	8.36	1.66	10.73	2.38	0.00
2	10	4	5.78	16.67	1.45	10.99	3.28	0.00
2	10	5	11.66	23.57	1.27	8.22	2.50	0.00
2	10	6	15.63	27.26	1.44	7.56	2.24	0.00
2	10	7	18.69	29.53	1.19	10.17	2.69	0.00
2	10	8	18.93	29.17	1.51	8.67	3.34	0.00
2	10	9	13.54	24.89	1.47	6.42	1.84	0.00
2	10	10	4.79	16.99	1.77	7.96	2.61	0.00
2	10	11	-2.23	8.75	1.59	9.90	3.37	0.00
2	10	12	-8.59	1.73	1.82	12.40	2.95	0.00
3	10	1	-11.93	-1.32	2.22	11.40	3.49	0.00
3	10	2	-10.36	-0.20	2.33	10.93	3.05	0.00
3	10	3	-3.04	8.36	1.66	10.73	2.38	0.00
3	10	4	5.78	16.67	1.45	10.99	3.28	0.00
3	10	5	11.66	23.57	1.27	8.22	2.50	0.00
3	10	6	15.63	27.26	1.44	7.56	2.24	0.00
3	10	7	18.69	29.53	1.19	10.17	2.69	0.00
3	10	8	18.93	29.17	1.51	8.67	3.34	0.00
3	10	9	13.54	24.89	1.47	6.42	1.84	0.00
3	10	10	4.79	16.99	1.77	7.96	2.61	0.00
3	10	11	-2.23	8.75	1.59	9.90	3.37	0.00
3	10	12	-8.59	1.73	1.82	12.40	2.95	0.00
4	10	1	-11.93	-1.32	2.22	11.40	3.49	0.00
4	10	2	-10.36	-0.20	2.33	10.93	3.05	0.00
4	10	3	-3.04	8.36	1.66	10.73	2.38	0.00
4	10	4	5.78	16.67	1.45	10.99	3.28	0.00
4	10	5	11.66	23.57	1.27	8.22	2.50	0.00
4	10	6	15.63	27.26	1.44	7.56	2.24	0.00
4	10	7	18.69	29.53	1.19	10.17	2.69	0.00
4	10	8	18.93	29.17	1.51	8.67	3.34	0.00
4	10	9	13.54	24.89	1.47	6.42	1.84	0.00
4	10	10	4.79	16.99	1.77	7.96	2.61	0.00
4	10	11	-2.23	8.75	1.59	9.90	3.37	0.00
4	10	12	-8.59	1.73	1.82	12.40	2.95	0.00
5	10	1	-11.93	-1.32	2.22	11.40	3.49	0.00
5	10	2	-10.36	-0.20	2.33	10.93	3.05	0.00
5	10	3	-3.04	8.36	1.66	10.73	2.38	0.00
5	10	4	5.78	16.67	1.45	10.99	3.28	0.00
5	10	5	11.66	23.57	1.27	8.22	2.50	0.00
5	10	6	15.63	27.26	1.44	7.56	2.24	0.00
5	10	7	18.69	29.53	1.19	10.17	2.69	0.00
5	10	8	18.93	29.17	1.51	8.67	3.34	0.00
5	10	9	13.54	24.89	1.47	6.42	1.84	0.00
5	10	10	4.79	16.99	1.77	7.96	2.61	0.00
5	10	11	-2.23	8.75	1.59	9.90	3.37	0.00
5	10	12	-8.59	1.73	1.82	12.40	2.95	0.00
6	10	1	-11.93	-1.32	2.22	11.40	3.49	0.00
6	10	2	-10.36	-0.20	2.33	10.93	3.05	0.00
6	10	3	-3.04	8.36	1.66	10.73	2.38	0.00
6	10	4	5.78	16.67	1.45	10.99	3.28	0.00
6	10	5	11.66	23.57	1.27	8.22	2.50	0.00
6	10	6	15.63	27.26	1.44	7.56	2.24	0.00
6	10	7	18.69	29.53	1.19	10.17	2.69	0.00
6	10	8	18.93	29.17	1.51	8.67	3.34	0.00
6	10	9	13.54	24.89	1.47	6.42	1.84	0.00
6	10	10	4.79	16.99	1.77	7.96	2.61	0.00
6	10	11	-2.23	8.75	1.59	9.90	3.37	0.00
6	10	12	-8.59	1.73	1.82	12.40	2.95	0.00
7	10	1	-11.93	-1.32	2.22	11.40	3.49	0.00
7	10	2	-10.36	-0.20	2.33	10.93	3.05	0.00
7	10	3	-3.04	8.36	1.66	10.73	2.38	0.00
7	10	4	5.78	16.67	1.45	10.99	3.28	0.00
7	10	5	11.66	23.57	1.27	8.22	2.50	0.00
7	10	6	15.63	27.26	1.44	7.56	2.24	0.00
7	10	7	18.69	29.53	1.19	10.17	2.69	0.00
7	10	8	18.93	29.17	1.51	8.67	3.34	0.00
7	10	9	13.54	24.89	1.47	6.42	1.84	0.00
7	10	10	4.79	16.99	1.77	7.96	2.61	0.00
7	10	11	-2.23	8.75	1.59	9.90	3.37	0.00
7	10	12	-8.59	1.73	1.82	12.40	2.95	0.00
8	10	1	-11.93	-1.32	2.22	11.40	3.49	0.00
8	10	2	-10.36	-0.20	2.33	10.93	3.05	0.00
8	10	3	-3.04	8.36	1.66	10.73	2.38	0.00
8	10	4	5.78	16.67	1.45	10.99	3.28	0.00
8	10	5	11.66	23.57	1.27	8.22	2.50	0.00
8	10	6	15.63	27.26	1.44	7.56	2.24	0.00
8	10	7	18.69	29.53	1.19	10.17	2.69	0.00
8	10	8	18.93	29.17	1.51	8.67	3.34	0.00
8	10	9	13.54	24.89	1.47	6.42	1.84	0.00
8	10	10	4.79	16.99	1.77	7.96	2.61	0.00
8	10	11	-2.23	8.75	1.59	9.90	3.37	0.00
8	10	12	-8.59	1.73	1.82	12.40	2.95	0.00
2	15	1	-9.09	1.51	2.22	7.99	2.44	0.00
2	15	2	-8.73	1.43	2.33	8.86	2.47	0.00
2	15	3	-3.03	8.37	1.66	8.92	1.98	0.00
2	15	4	5.20	16.09	1.45	5.58	1.67	0.00
2	15	5	11.38	23.29	1.27	12.95	3.88	0.00
2	15	6	15.26	26.89	1.44	10.46	3.04	0.00
2	15	7	17.99	28.83	1.19	7.47	2.00	0.00
2	15	8	18.89	29.13	1.51	10.77	4.21	0.00
2	15	9	14.84	26.19	1.47	3.73	1.18	0.00
2	15	10	6.91	19.11	1.77	4.17	1.37	0.00
2	15	11	0.17	11.14	1.59	8.35	2.84	0.00
2	15	12	-5.77	4.56	1.82	14.97	3.49	0.00
3	15	1	-9.09	1.51	2.22	7.99	2.44	0.00
3	15	2	-8.73	1.43	2.33	8.86	2.47	0.00
3	15	3	-3.03	8.37	1.66	8.92	1.98	0.00
3	15	4	5.20	16.09	1.45	5.58	1.67	0.00
3	15	5	11.38	23.29	1.27	12.95	3.88	0.00
3	15	6	15.26	26.89	1.44	10.46	3.04	0.00
3	15	7	17.99	28.83	1.19	7.47	2.00	0.00
3	15	8	18.89	29.13	1.51	10.77	4.21	0.00
3	15	9	14.84	26.19	1.47	3.73	1.18	0.00
3	15	10	6.91	19.11	1.77	4.17	1.37	0.00
3	15	11	0.17	11.14	1.59	8.35	2.84	0.00
3	15	12	-5.77	4.56	1.82	14.97	3.49	0.00
4	15	1	-9.09	1.51	2.22	7.99	2.44	0.00
4	15	2	-8.73	1.43	2.33	8.86	2.47	0.00
4	15	3	-3.03	8.37	1.66	8.92	1.98	0.00
4	15	4	5.20	16.09	1.45	5.58	1.67	0.00
4	15	5	11.38	23.29	1.27	12.95	3.88	0.00
4	15	6	15.26	26.89	1.44	10.46	3.04	0.00
4	15	7	17.99	28.83	1.19	7.47	2.00	0.00
4	15	8	18.89	29.13	1.51	10.77	4.21	0.00
4	15	9	14.84	26.19	1.47	3.73	1.18	0.00
4	15	10	6.91	19.11	1.77	4.17	1.37	0.00
4	15	11	0.17	11.14	1.59	8.35	2.84	0.00
4	15	12	-5.77	4.56	1.82	14.97	3.49	0.00
5	15	1	-9.09	1.51	2.22	7.99	2.44	0.00
5	15	2	-8.73	1.43	2.33	8.86	2.47	0.00
5	15	3	-3.03	8.37	1.66	8.92	1.98	0.00
5	15	4	5.20	16.09	1.45	5.58	1.67	0.00
5	15	5	11.38	23.29	1.27	12.95	3.88	0.00
5	15	6	15.26	26.89	1.44	10.46	3.04	0.00
5	15	7	17.99	28.83	1.19	7.47	2.00	0.00
5	15	8	18.89	29.13	1.51	10.77	4.21	0.00
5	15	9	14.84	26.19	1.47	3.73	1.18	0.00
5	15	10	6.91	19.11	1.77	4.17	1.37	0.00
5	15	11	0.17	11.14	1.59	8.35	2.84	0.00
5	15	12	-5.77	4.56	1.82	14.97	3.49	0.00
6	15	1	-9.09	1.51	2.22	7.99	2.44	0.00
6	15	2	-8.73	1.43	2.33	8.86	2.47	0.00
6	15	3	-3.03	8.37	1.66	8.92	1.98	0.00
6	15	4	5.20	16.09	1.45	5.58	1.67	0.00
6	15	5	11.38	23.29	1.27	12.95	3.88	0.00
6	15	6	15.26	26.89	1.44	10.46	3.04	0.00
6	15	7	17.99	28.83	1.19	7.47	2.00	0.00
6	15	8	18.89	29.13	1.51	10.77	4.21	0.00
6	15	9	14.84	26.19	1.47	3.73	1.18	0.00
6	15	10	6.91	19.11	1.77	4.17	1.37	0.00
6	15	11	0.17	11.14	1.59	8.35	2.84	0.00
6	15	12	-5.77	4.56	1.82	14.97	3.49	0.00
7	15	1	-9.09	1.51	2.22	7.99	2.44	0.00
7	15	2	-8.73	1.43	2.33	8.86	2.47	0.00
7	15	3	-3.03	8.37	1.66	8.92	1.98	0.00
7	15	4	5.20	16.09	1.45	5.58	1.67	0.00
7	15	5	11.38	23.29	1.27	12.95	3.88	0.00
7	15	6	15.26	26.89	1.44	10.46	3.04	0.00
7	15	7	17.99	28.83	1.19	7.47	2.00	0.00
7	15	8	18.89	29.13	1.51	10.77	4.21	0.00
7	15	9	14.84	26.19	1.47	3.73	1.18	0.00
7	15	10	6.91	19.11	1.77	4.17	1.37	0.00
7	15	11	0.17	11.14	1.59	8.35	2.84	0.00
7	15	12	-5.77	4.56	1.82	14.97	3.49	0.00
8	15	1	-9.09	1.51	2.22	7.99	2.44	0.00
8	15	2	-8.73	1.43	2.33	8.86	2.47	0.00
8	15	3	-3.03	8.37	1.66	8.92	1.98	0.00
8	15	4	5.20	16.09	1.45	5.58	1.67	0.00
8	15	5	11.38	23.29	1.27	12.95	3.88	0.00
8	15	6	15.26	26.89	1.44	10.46	3.04	0.00
8	15	7	17.99	28.83	1.19	7.47	2.00	0.00
8	15	8	18.89	29.13	1.51	10.77	4.21	0.00
8	15	9	14.84	26.19	1.47	3.73	1.18	0.00
8	15	10	6.91	19.11	1.77	4.17	1.37	0.00
8	15	11	0.17	11.14	1.59	8.35	2.84	0.00
8	15	12	-5.77	4.56	1.82	14.97	3.49	0.00
2	20	1	-11.40	-0.80	2.22	9.75	2.96	0.00
2	20	2	-11.36	-1.21	2.33	7.89	2.21	0.00
2	20	3	-4.15	7.25	1.66	10.89	2.42	0.00
2	20	4	5.99	16.88	1.45	13.12	3.93	0.00
2	20	5	12.78	24.69	1.27	7.50	2.32	0.00
2	20	6	16.19	27.82	1.44	10.27	3.02	0.00
2	20	7	18.22	29.06	1.19	11.44	3.03	0.00
2	20	8	18.29	28.53	1.51	10.81	4.21	0.00
2	20	9	13.61	24.96	1.47	4.98	1.45	0.00
2	20	10	5.88	18.08	1.77	12.54	4.19	0.00
2	20	11	-0.30	10.68	1.59	10.60	3.63	0.00
2	20	12	-6.70	3.63	1.82	11.25	2.69	0.00
3	20	1	-11.40	-0.80	2.22	9.75	2.96	0.00
3	20	2	-11.36	-1.21	2.33	7.89	2.21	0.00
3	20	3	-4.15	7.25	1.66	10.89	2.42	0.00
3	20	4	5.99	16.88	1.45	13.12	3.93	0.00
3	20	5	12.78	24.69	1.27	7.50	2.32	0.00
3	20	6	16.19	27.82	1.44	10.27	3.02	0.00
3	20	7	18.22	29.06	1.19	11.44	3.03	0.00
3	20	8	18.29	28.53	1.51	10.81	4.21	0.00
3	20	9	13.61	24.96	1.47	4.98	1.45	0.00
3	20	10	5.88	18.08	1.77	12.54	4.19	0.00
3	20	11	-0.30	10.68	1.59	10.60	3.63	0.00
3	20	12	-6.70	3.63	1.82	11.25	2.69	0.00
4	20	1	-11.40	-0.80	2.22	9.75	2.96	0.00
4	20	2	-11.36	-1.21	2.33	7.89	2.21	0.00
4	20	3	-4.15	7.25	1.66	10.89	2.42	0.00
4	20	4	5.99	16.88	1.45	13.12	3.93	0.00
4	20	5	12.78	24.69	1.27	7.50	2.32	0.00
4	20	6	16.19	27.82	1.44	10.27	3.02	0.00
4	20	7	18.22	29.06	1.19	11.44	3.03	0.00
4	20	8	18.29	28.53	1.51	10.81	4.21	0.00
4	20	9	13.61	24.96	1.47	4.98	1.45	0.00
4	20	10	5.88	18.08	1.77	12.54	4.19	0.00
4	20	11	-0.30	10.68	1.59	10.60	3.63	0.00
4	20	12	-6.70	3.63	1.82	11.25	2.69	0.00
5	20	1	-11.40	-0.80	2.22	9.75	2.96	0.00
5	20	2	-11.36	-1.21	2.33	7.89	2.21	0.00
5	20	3	-4.15	7.25	1.66	10.89	2.42	0.00
5	20	4	5.99	16.88	1.45	13.12	3.93	0.00
5	20	5	12.78	24.69	1.27	7.50	2.32	0.00
5	20	6	16.19	27.82	1.44	10.27	3.02	0.00
5	20	7	18.22	29.06	1.19	11.44	3.03	0.00
5	20	8	18.29	28.53	1.51	10.81	4.21	0.00
5	20	9	13.61	24.96	1.47	4.98	1.45	0.00
5	20	10	5.88	18.08	1.77	12.54	4.19	0.00
5	20	11	-0.30	10.68	1.59	10.60	3.63	0.00
5	20	12	-6.70	3.63	1.82	11.25	2.69	0.00
6	20	1	-11.40	-0.80	2.22	9.75	2.96	0.00
6	20	2	-11.36	-1.21	2.33	7.89	2.21	0.00
6	20	3	-4.15	7.25	1.66	10.89	2.42	0.00
6	20	4	5.99	16.88	1.45	13.12	3.93	0.00
6	20	5	12.78	24.69	1.27	7.50	2.32	0.00
6	20	6	16.19	27.82	1.44	10.27	3.02	0.00
6	20	7	18.22	29.06	1.19	11.44	3.03	0.00
6	20	8	18.29	28.53	1.51	10.81	4.21	0.00
6	20	9	13.61	24.96	1.47	4.98	1.45	0.00
6	20	10	5.88	18.08	1.77	12.54	4.19	0.00
6	20	11	-0.30	10.68	1.59	10.60	3.63	0.00
6	20	12	-6.70	3.63	1.82	11.25	2.69	0.00
7	20	1	-11.40	-0.80	2.22	9.75	2.96	0.00
7	20	2	-11.36	-1.21	2.33	7.89	2.21	0.00
7	20	3	-4.15	7.25	1.66	10.89	2.42	0.00
7	20	4	5.99	16.88	1.45	13.12	3.93	0.00
7	20	5	12.78	24.69	1.27	7.50	2.32	0.00
7	20	6	16.19	27.82	1.44	10.27	3.02	0.00
7	20	7	18.22	29.06	1.19	11.44	3.03	0.00
7	20	8	18.29	28.53	1.51	10.81	4.21	0.00
7	20	9	13.61	24.96	1.47	4.98	1.45	0.00
7	20	10	5.88	18.08	1.77	12.54	4.19	0.00
7	20	11	-0.30	10.68	1.59	10.60	3.63	0.00
7	20	12	-6.70	3.63	1.82	11.25	2.69	0.00
8	20	1	-11.40	-0.80	2.22	9.75	2.96	0.00
8	20	2	-11.36	-1.21	2.33	7.89	2.21	0.00
8	20	3	-4.15	7.25	1.66	10.89	2.42	0.00
8	20	4	5.99	16.88	1.45	13.12	3.93	0.00
8	20	5	12.78	24.69	1.27	7.50	2.32	0.00
8	20	6	16.19	27.82	1.44	10.27	3.02	0.00
8	20	7	18.22	29.06	1.19	11.44	3.03	0.00
8	20	8	18.29	28.53	1.51	10.81	4.21	0.00
8	20	9	13.61	24.96	1.47	4.98	1.45	0.00
8	20	10	5.88	18.08	1.77	12.54	4.19	0.00
8	20	11	-0.30	10.68	1.59	10.60	3.63	0.00
8	20	12	-6.70	3.63	1.82	11.25	2.69	0.00
2	25	1	-10.54	0.06	2.22	9.78	2.97	0.00
2	25	2	-10.02	0.14	2.33	8.25	2.31	0.00
2	25	3	-3.43	7.97	1.66	10.58	2.33	0.00
2	25	4	5.39	16.28	1.45	7.47	2.22	0.00
2	25	5	11.66	23.58	1.27	8.48	2.57	0.00
2	25	6	16.15	27.78	1.44	8.86	2.57	0.00
2	25	7	19.84	30.67	1.19	7.48	1.97	0.00
2	25	8	20.51	30.75	1.51	6.45	2.43	0.00
2	25	9	14.96	26.31	1.47	8.38	2.37	0.00
2	25	10	5.96	18.16	1.77	6.04	1.97	0.00
2	25	11	-0.80	10.18	1.59	14.80	5.06	0.00
2	25	12	-6.78	3.55	1.82	12.69	3.07	0.00
3	25	1	-10.54	0.06	2.22	9.78	2.97	0.00
3	25	2	-10.02	0.14	2.33	8.25	2.31	0.00
3	25	3	-3.43	7.97	1.66	10.58	2.33	0.00
3	25	4	5.39	16.28	1.45	7.47	2.22	0.00
3	25	5	11.66	23.58	1.27	8.48	2.57	0.00
3	25	6	16.15	27.78	1.44	8.86	2.57	0.00
3	25	7	19.84	30.67	1.19	7.48	1.97	0.00
3	25	8	20.51	30.75	1.51	6.45	2.43	0.00
3	25	9	14.96	26.31	1.47	8.38	2.37	0.00
3	25	10	5.96	18.16	1.77	6.04	1.97	0.00
3	25	11	-0.80	10.18	1.59	14.80	5.06	0.00
3	25	12	-6.78	3.55	1.82	12.69	3.07	0.00
4	25	1	-10.54	0.06	2.22	9.78	2.97	0.00
4	25	2	-10.02	0.14	2.33	8.25	2.31	0.00
4	25	3	-3.43	7.97	1.66	10.58	2.33	0.00
4	25	4	5.39	16.28	1.45	7.47	2.22	0.00
4	25	5	11.66	23.58	1.27	8.48	2.57	0.00
4	25	6	16.15	27.78	1.44	8.86	2.57	0.00
4	25	7	19.84	30.67	1.19	7.48	1.97	0.00
4	25	8	20.51	30.75	1.51	6.45	2.43	0.00
4	25	9	14.96	26.31	1.47	8.38	2.37	0.00
